Precinct,Crime Description,0
77th Street,BATTERY - SIMPLE ASSAULT,4195
77th Street,BURGLARY,1894
77th Street,BURGLARY FROM VEHICLE,1579
77th Street,THEFT OF IDENTITY,3849
77th Street,VEHICLE - STOLEN,7046
Central,BATTERY - SIMPLE ASSAULT,6276
Central,BURGLARY,2232
Central,BURGLARY FROM VEHICLE,8047
Central,THEFT OF IDENTITY,1676
Central,VEHICLE - STOLEN,3755
Devonshire,BATTERY - SIMPLE ASSAULT,2361
Devonshire,BURGLARY,3130
Devonshire,BURGLARY FROM VEHICLE,2099
Devonshire,THEFT OF IDENTITY,2926
Devonshire,VEHICLE - STOLEN,3151
Foothill,BATTERY - SIMPLE ASSAULT,2173
Foothill,BURGLARY,1759
Foothill,BURGLARY FROM VEHICLE,1285
Foothill,THEFT OF IDENTITY,2265
Foothill,VEHICLE - STOLEN,3585
Harbor,BATTERY - SIMPLE ASSAULT,2815
Harbor,BURGLARY,2061
Harbor,BURGLARY FROM VEHICLE,1435
Harbor,THEFT OF IDENTITY,1674
Harbor,VEHICLE - STOLEN,4885
Hollenbeck,BATTERY - SIMPLE ASSAULT,2885
Hollenbeck,BURGLARY,1542
Hollenbeck,BURGLARY FROM VEHICLE,1163
Hollenbeck,THEFT OF IDENTITY,1843
Hollenbeck,VEHICLE - STOLEN,5029
Hollywood,BATTERY - SIMPLE ASSAULT,4102
Hollywood,BURGLARY,2377
Hollywood,BURGLARY FROM VEHICLE,3616
Hollywood,THEFT OF IDENTITY,2236
Hollywood,VEHICLE - STOLEN,3211
Mission,BATTERY - SIMPLE ASSAULT,2297
Mission,BURGLARY,1393
Mission,BURGLARY FROM VEHICLE,1553
Mission,THEFT OF IDENTITY,2675
Mission,VEHICLE - STOLEN,4662
N Hollywood,BATTERY - SIMPLE ASSAULT,3036
N Hollywood,BURGLARY,3284
N Hollywood,BURGLARY FROM VEHICLE,3062
N Hollywood,THEFT OF IDENTITY,2820
N Hollywood,VEHICLE - STOLEN,3960
Newton,BATTERY - SIMPLE ASSAULT,3904
Newton,BURGLARY,2251
Newton,BURGLARY FROM VEHICLE,2294
Newton,THEFT OF IDENTITY,2312
Newton,VEHICLE - STOLEN,6693
Northeast,BATTERY - SIMPLE ASSAULT,2419
Northeast,BURGLARY,2356
Northeast,BURGLARY FROM VEHICLE,2659
Northeast,THEFT OF IDENTITY,2078
Northeast,VEHICLE - STOLEN,4337
Olympic,BATTERY - SIMPLE ASSAULT,4053
Olympic,BURGLARY,2783
Olympic,BURGLARY FROM VEHICLE,2794
Olympic,THEFT OF IDENTITY,2113
Olympic,VEHICLE - STOLEN,4652
Pacific,BATTERY - SIMPLE ASSAULT,2994
Pacific,BURGLARY,3990
Pacific,BURGLARY FROM VEHICLE,3284
Pacific,THEFT OF IDENTITY,2367
Pacific,VEHICLE - STOLEN,5222
Rampart,BATTERY - SIMPLE ASSAULT,3833
Rampart,BURGLARY,1661
Rampart,BURGLARY FROM VEHICLE,2295
Rampart,THEFT OF IDENTITY,2355
Rampart,VEHICLE - STOLEN,4366
Southeast,BATTERY - SIMPLE ASSAULT,3500
Southeast,BURGLARY,1217
Southeast,BURGLARY FROM VEHICLE,1320
Southeast,THEFT OF IDENTITY,3431
Southeast,VEHICLE - STOLEN,5825
Southwest,BATTERY - SIMPLE ASSAULT,4065
Southwest,BURGLARY,1849
Southwest,BURGLARY FROM VEHICLE,1789
Southwest,THEFT OF IDENTITY,3323
Southwest,VEHICLE - STOLEN,5204
Topanga,BATTERY - SIMPLE ASSAULT,2496
Topanga,BURGLARY,2863
Topanga,BURGLARY FROM VEHICLE,2020
Topanga,THEFT OF IDENTITY,2826
Topanga,VEHICLE - STOLEN,2704
Van Nuys,BATTERY - SIMPLE ASSAULT,2569
Van Nuys,BURGLARY,2780
Van Nuys,BURGLARY FROM VEHICLE,2351
Van Nuys,THEFT OF IDENTITY,2780
Van Nuys,VEHICLE - STOLEN,3636
West LA,BATTERY - SIMPLE ASSAULT,2648
West LA,BURGLARY,4029
West LA,BURGLARY FROM VEHICLE,2997
West LA,THEFT OF IDENTITY,2902
West LA,VEHICLE - STOLEN,2831
West Valley,BATTERY - SIMPLE ASSAULT,2457
West Valley,BURGLARY,3166
West Valley,BURGLARY FROM VEHICLE,2230
West Valley,THEFT OF IDENTITY,2797
West Valley,VEHICLE - STOLEN,3393
Wilshire,BATTERY - SIMPLE ASSAULT,2898
Wilshire,BURGLARY,3344
Wilshire,BURGLARY FROM VEHICLE,2739
Wilshire,THEFT OF IDENTITY,2219
Wilshire,VEHICLE - STOLEN,3326
