Precinct,Crime Description,Year,Count
77th Street,BATTERY - SIMPLE ASSAULT,2020,985
77th Street,BATTERY - SIMPLE ASSAULT,2021,1012
77th Street,BATTERY - SIMPLE ASSAULT,2022,1050
77th Street,BATTERY - SIMPLE ASSAULT,2023,1148
77th Street,BURGLARY,2020,456
77th Street,BURGLARY,2021,512
77th Street,BURGLARY,2022,460
77th Street,BURGLARY,2023,466
77th Street,BURGLARY FROM VEHICLE,2020,531
77th Street,BURGLARY FROM VEHICLE,2021,382
77th Street,BURGLARY FROM VEHICLE,2022,336
77th Street,BURGLARY FROM VEHICLE,2023,330
77th Street,THEFT OF IDENTITY,2020,419
77th Street,THEFT OF IDENTITY,2021,530
77th Street,THEFT OF IDENTITY,2022,2022
77th Street,THEFT OF IDENTITY,2023,878
77th Street,VEHICLE - STOLEN,2020,1589
77th Street,VEHICLE - STOLEN,2021,1774
77th Street,VEHICLE - STOLEN,2022,1801
77th Street,VEHICLE - STOLEN,2023,1882
Central,BATTERY - SIMPLE ASSAULT,2020,1340
Central,BATTERY - SIMPLE ASSAULT,2021,1442
Central,BATTERY - SIMPLE ASSAULT,2022,1823
Central,BATTERY - SIMPLE ASSAULT,2023,1671
Central,BURGLARY,2020,584
Central,BURGLARY,2021,517
Central,BURGLARY,2022,592
Central,BURGLARY,2023,539
Central,BURGLARY FROM VEHICLE,2020,1192
Central,BURGLARY FROM VEHICLE,2021,1660
Central,BURGLARY FROM VEHICLE,2022,2940
Central,BURGLARY FROM VEHICLE,2023,2255
Central,THEFT OF IDENTITY,2020,244
Central,THEFT OF IDENTITY,2021,323
Central,THEFT OF IDENTITY,2022,728
Central,THEFT OF IDENTITY,2023,381
Central,VEHICLE - STOLEN,2020,594
Central,VEHICLE - STOLEN,2021,839
Central,VEHICLE - STOLEN,2022,1198
Central,VEHICLE - STOLEN,2023,1124
Devonshire,BATTERY - SIMPLE ASSAULT,2020,540
Devonshire,BATTERY - SIMPLE ASSAULT,2021,567
Devonshire,BATTERY - SIMPLE ASSAULT,2022,648
Devonshire,BATTERY - SIMPLE ASSAULT,2023,606
Devonshire,BURGLARY,2020,619
Devonshire,BURGLARY,2021,693
Devonshire,BURGLARY,2022,858
Devonshire,BURGLARY,2023,960
Devonshire,BURGLARY FROM VEHICLE,2020,615
Devonshire,BURGLARY FROM VEHICLE,2021,613
Devonshire,BURGLARY FROM VEHICLE,2022,486
Devonshire,BURGLARY FROM VEHICLE,2023,385
Devonshire,THEFT OF IDENTITY,2020,601
Devonshire,THEFT OF IDENTITY,2021,671
Devonshire,THEFT OF IDENTITY,2022,966
Devonshire,THEFT OF IDENTITY,2023,688
Devonshire,VEHICLE - STOLEN,2020,700
Devonshire,VEHICLE - STOLEN,2021,932
